id,type,prompt,config,delegated,subagent_types,expected_agents,agent_match
D01,direct,프로필 수정 API 인터페이스를 설계해줘,detailed,False,,api-designer,False
D02,direct,UserService 코드 구조를 분석해줘,detailed,False,,code-analyzer,False
D03,direct,팔로우 목록 조회 쿼리를 최적화해줘,detailed,False,,db-query-helper,False
D04,direct,UserService 팔로우 기능 단위 테스트를 작성해줘,detailed,False,,test-writer,False
D05,direct,통화 매칭 로직의 응답 시간을 개선해줘,detailed,False,,performance-optimizer,False
D06,direct,채팅 모듈 DynamoDB 마이그레이션 계획을 세워줘,detailed,False,,migration-planner,False
N01,natural,클라이언트에서 사용자 프로필을 수정하는 API의 입출력을 정의해야 해,detailed,False,,api-designer,False
N02,natural,CallService의 의존성이 복잡한데 정리가 필요해,detailed,False,,code-analyzer,False
N03,natural,UserRepository의 findByNickname 쿼리가 너무 느려,detailed,False,,db-query-helper,False
N04,natural,통화 매칭 로직의 엣지 케이스가 걱정돼,detailed,False,,test-writer,False
N05,natural,팔로우 목록 조회 시 응답이 3초가 걸려,detailed,False,,performance-optimizer,False
N06,natural,푸시 알림 시스템을 FCM에서 자체 구현으로 전환하려고 해,detailed,False,,migration-planner,False
A01,ambiguous,새 API endpoint 만들어줘,detailed,False,,api-designer|code-analyzer,False
A02,ambiguous,데이터 모델 설계해줘,detailed,False,,db-query-helper|api-designer,False
A03,ambiguous,notification 모듈에 새 기능 추가해줘,detailed,False,,code-analyzer|api-designer,False
A04,ambiguous,채팅 모듈을 DynamoDB로 전환해줘,detailed,False,,migration-planner|performance-optimizer,False
D07,direct,UserRepository에 새 쿼리 메서드를 추가해줘,detailed,False,,db-query-helper,False
N07,natural,통화 기능에서 버그가 나는데 테스트가 없어,detailed,False,,test-writer,False
N08,natural,Redis 캐시 적용해서 조회 속도를 올리고 싶어,detailed,False,,performance-optimizer,False
N09,natural,gRPC Proto에 새 필드를 추가해야 하는데 어떻게 정의하지,detailed,False,,api-designer,False
